rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
14,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,128,8,8,16,4,7,1,0,0,named-barrier,1,0.056115,0.056115,0.056115,70.072994,1.058314
15,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,128,128,4,4,2,4,8,1,0,0,named-barrier,1,0.056177,0.056177,0.056177,69.996354,1.059484
16,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,4,4,2,4,8,1,0,0,named-barrier,1,0.056402,0.056402,0.056402,69.716776,1.063727
17,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,128,256,4,4,4,4,7,1,0,0,named-barrier,1,0.056463,0.056463,0.056463,69.640913,1.064878
18,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,128,8,4,16,2,7,1,0,0,named-barrier,1,0.056771,0.056771,0.056771,69.264070,1.070686
19,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,128,4,8,8,4,7,1,0,0,named-barrier,1,0.056996,0.056996,0.056996,68.990300,1.074930
20,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,256,8,8,4,16,8,1,0,0,named-barrier,1,0.057508,0.057508,0.057508,68.376070,1.084586
21,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,128,4,4,4,4,8,1,0,0,named-barrier,1,0.057610,0.057610,0.057610,68.254533,1.086510
22,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,128,4,4,8,2,7,1,0,0,named-barrier,1,0.057733,0.057733,0.057733,68.109256,1.088829
23,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,128,8,8,8,8,8,1,0,0,named-barrier,1,0.057795,0.057795,0.057795,68.036854,1.089999
24,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,256,8,4,16,4,7,1,0,0,named-barrier,1,0.058081,0.058081,0.058081,67.700987,1.095393
25,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,128,128,8,8,4,8,8,1,0,0,named-barrier,1,0.058286,0.058286,0.058286,67.463104,1.099259
26,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,256,4,4,8,4,7,1,0,0,named-barrier,1,0.058327,0.058327,0.058327,67.415729,1.100032
27,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,4,8,2,8,8,1,0,0,named-barrier,1,0.058348,0.058348,0.058348,67.392068,1.100428
